700
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	9.3
11	0
12	0
13	0
14	0
15	13.6
16	14.5
17	6
18	0
19	6.3
20	17.7
21	25.6
22	17
23	10.4
24	10.6
25	19.8
26	32.2
27	30.7
28	19.5
29	17.2
30	22
31	36.4
32	44.4
33	35.4
34	26.3
35	28.6
36	40.7
37	51.2
38	51.7
39	40.1
40	35.5
41	42.8
42	57.7
43	63.4
44	56.5
45	47
46	49.5
47	62
48	72.6
49	73.1
50	63.5
51	58.7
52	66.3
53	79.2
54	85
55	80.2
56	70.5
57	73.1
58	83.5
59	94.2
60	94.7
61	87.3
62	82.4
63	90.1
64	100.9
65	106.6
66	101.8
67	94.3
68	97
69	107.5
70	115.9
71	116.4
72	108.9
73	106.4
74	111.8
75	122.6
76	128.4
77	123.6
78	118.4
79	118.6
80	129.3
81	137.7
82	138.2
83	133.1
84	128.1
85	136
86	144.4
87	150.2
88	147.8
89	142.6
90	142.8
91	151.1
92	159.6
93	160
94	154.9
95	152.3
96	157.8
97	166.3
98	172.1
99	169.7
100	164.4
101	167.2
102	172.9
103	181.4
104	181.9
105	179.2
106	176.6
107	179.7
108	188.2
109	193.9
110	191.5
111	188.8
112	189
113	197.4
114	203.3
115	203.8
116	201.1
117	198.5
118	204.1
119	210.1
120	215.9
121	213.5
122	210.7
123	210.9
124	219.3
125	225.2
126	228.3
127	223.1
128	223
129	226
130	234.6
131	237.8
132	238
133	232.7
134	235.4
135	241.2
136	247.2
137	250.2
138	247.6
139	244.9
140	248
141	256.5
142	259.7
143	259.9
144	257.2
145	257.3
146	263.2
147	269.1
148	272.2
149	269.5
150	266.9
151	272.5
152	278.4
153	281.7
154	281.9
155	279.2
156	279.3
157	285.1
158	291.1
159	294.1
160	291.5
161	291.5
162	294.5
163	300.4
164	303.7
165	303.8
166	301.1
167	303.9
168	309.8
169	313.1
170	316.1
171	313.5
172	313.5
173	316.4
174	322.4
175	328.3
176	325.9
177	325.8
178	325.9
179	331.7
180	337.7
181	338.1
182	338.1
183	335.4
184	338.4
185	344.4
186	350.3
187	350.5
188	347.7
189	347.9
190	353.7
191	359.7
192	360.1
193	360.1
194	357.5
195	363.1
196	366.4
